Subject_Code,Cluster
NT005,0
NT007,0
CT004,0
CT003,0
NT010,0
NT016,1
NT018,1
NT017,0
NT020,0
CT008,0
NT019,0
CT007,1
NT015,1
NT022,1
CT010,1
NT024,1
CT012,1
CT016,0
NT028,1
NT032,0
NT023,1
NT035,1
CT018,0
NT036,0
NT027,0
NT033,0
NT031,0
NT025,0
NT034,0
NT043,0
NT042,0
NT040,1
CT021,1
NT046,1
NT048,1
NT049,0
NT045,1
CT022,0
NT039,0
CT023,0
NT054,0
NT055,0
NT056,0
NT058,0
NT061,0
NT052,0
NT057,1
NT041,0
CT024,1
NT051,0
NT060,1
NT047,1
CT025,1
CT028,0
CT029,0
NT065,1
NT067,0
CT031,0
CT026,0
CT032,0
CT027,0
NT044,0
NT070,0
NT071,0
NT074,0
CT034,0
NT069,0
NT075,0
CT035,0
NT083,1
NT082,0
NT084,0
CT038,1
NT085,0
CT033,0
NT087,0
CT030,1
CT041,0
NT063,1
NT089,0
NT092,0
CT040,1
CT039,1
NT088,0
NT090,0
NT096,1
NT091,0
NT077,0
NT097,1
NT081,1
CT047,1
CT046,0
CT045,0
NT030,0
CT044,0
CT049,1
NT100,0
NT110,1
NT094,0
CT050,0
NT112,0
CT051,1
NT118,0
NT116,0
NT121,0
CT053,1
NT122,0
NT117,0
CT055,0
NT123,0
NT114,0
NT124,0
NT107,0
CT058,0
NT126,0
CT060,0
CT062,0
CT061,1
CT065,0
NT129,1
NT131,0
NT136,1
NT135,0
NT134,1
NT137,0
NT139,0
NT140,0
NT142,0
NT080,1
NT072,0
CT066,0
CT048,0
