Subject_Code,Cluster
CT003,1
CT004,1
CT005,1
CT007,0
CT008,1
CT010,0
CT012,0
CT013,1
CT015,0
CT017,0
CT018,0
CT021,0
CT022,1
CT023,0
CT024,1
CT025,1
CT026,1
CT027,0
CT028,0
CT029,1
CT030,0
CT031,1
CT033,1
CT034,1
CT037,1
CT038,1
CT039,0
CT040,1
CT041,1
CT044,1
CT045,1
CT046,1
CT047,0
CT049,0
CT050,0
CT051,0
CT053,1
CT055,1
CT056,1
CT057,1
CT058,1
CT059,1
CT060,1
CT061,0
CT062,1
NT001,0
NT002,1
NT005,1
NT007,1
NT008,1
NT010,1
NT015,0
NT016,0
NT017,0
NT018,0
NT022,0
NT023,1
NT024,0
NT025,1
NT026,0
NT027,0
NT028,1
NT029,1
NT030,1
NT031,1
NT032,1
NT033,0
NT034,0
NT035,1
NT036,1
NT039,1
NT040,0
NT042,0
NT044,1
NT046,0
NT047,0
NT048,1
NT049,0
NT051,1
NT052,0
NT054,1
NT055,0
NT058,1
NT059,1
NT060,0
NT063,1
NT065,0
NT067,1
NT069,1
NT070,0
NT071,0
NT072,1
NT074,1
NT076,1
NT077,1
NT080,1
NT081,1
NT082,1
NT083,0
NT084,1
NT085,1
NT087,1
NT088,1
NT089,1
NT090,0
NT091,0
NT092,1
NT093,1
NT094,0
NT096,1
NT097,1
NT100,1
NT102,1
NT107,0
NT110,1
NT114,1
NT116,1
NT117,1
NT118,1
NT121,1
NT122,1
NT123,1
NT124,1
NT126,1
NT129,0
NT131,0
NT135,0
NT136,0
NT140,0
