feature,PC2_loading
Right_MFC_medial_frontal_cortex_Vgm,0.22741414029899104
Right_LOrG_lateral_orbital_gyrus_Vgm,0.1843604694096142
Left_FO_frontal_operculum_Vgm,0.17342975374047293
Cerebellar_Vermal_Lobules_I-V_Vgm,-0.17273587748559588
Right_GRe_gyrus_rectus_Vgm,0.1617642924473118
Left_Amygdala_Vgm,-0.1597953025856335
Right_FRP_frontal_pole_Vgm,0.15827897638394203
Right_POrG_posterior_orbital_gyrus_Vgm,0.15151394386992223
Left_OrIFG_orbital_part_of_the_inferior_frontal_gyrus_Vgm,0.14899929409955362
Left_SCA_subcallosal_area_Vgm,0.1472918006173289
