,r2_mean,r2_std,rmse,n
after,-0.18455301043195055,0.37676433114815333,5.366125466943368,120
b,-0.026714832334220163,0.07695256123721808,5.3313966590701,114
t1,0.0307131278303276,0.04820048951534971,5.292567819963585,121
t2,-0.1209831725809745,0.2663816170734325,5.542181164848939,119
t3,-0.22856016376615423,0.22330467149845135,5.690683654890257,109
