Subject_Code,timepoint,PC1,PC2
CT002,b,-0.8861515921882733,0.9199443288560889
CT003,b,0.15372791464048488,-0.6733785986885318
CT004,b,-1.443663735475877,-0.6755929276550932
CT005,b,0.8498839325410144,2.8822107453441923
CT007,b,2.054623298125346,-2.6104494081426135
CT008,b,2.4572697894559763,0.19643085236948118
CT010,b,-2.219659697784192,-1.6996316823253366
CT012,b,-0.7909912689030222,1.0358290496997893
CT013,b,1.272763801155049,1.0253761614518486
CT015,b,-1.049442627104886,-0.7183103510113171
CT016,b,-1.9129026127325497,0.5048998975394011
CT017,b,2.8932457705195067,-2.7506092801841566
CT018,b,0.8971624605650561,-0.126273283320936
CT020,b,-0.7172573911233003,-1.3507805639127195
CT021,b,0.3495618220495691,0.0028840755959420386
CT022,b,-1.7787572751008456,-0.22079010389579642
CT023,b,-2.341586638907698,0.0069436665576355396
CT024,b,2.8483847180572957,-0.03589193367105699
CT025,b,1.7420132625073494,-0.3492972423772881
CT026,b,-0.7457155517424212,1.2594259940700698
CT027,b,-2.097091909818006,-0.9414729901148431
CT028,b,-1.9557395602583294,-0.658447484673188
CT029,b,-1.724005854209325,0.8784672504173346
CT030,b,4.772518511962943,0.06763342268990642
CT031,b,-1.7531663600044751,-0.9106365261100453
CT032,b,-1.1146958755002945,-0.02505224345680294
CT033,b,-0.7607944655592886,0.8648027411035256
CT034,b,-1.2507969409863224,-0.9899388148245538
CT037,b,-0.026507149024332318,-2.5199368021945565
CT038,b,-2.7670963183345068,-0.23188278607315113
CT039,b,1.1112163552921726,-1.6746567870899802
CT040,b,-2.7634334612441305,0.2751433970509668
CT041,b,-2.326867812914767,-1.0553369849029421
CT042,b,-1.2783608767654453,-0.26291486609835946
CT043,b,-0.9904174015424796,-1.3345935264763964
CT044,b,1.1096706239838254,0.6516917337023825
CT046,b,0.9830972388294391,0.20250697467530798
CT050,b,-0.5355325189982902,-0.7593128492527447
CT051,b,0.9640196702359773,-1.2222829687686656
CT053,b,0.16816389656249922,-0.5771983795239601
CT056,b,-2.1251225490189585,0.19204494561375243
CT058,b,-2.7634334612441305,0.2751433970509668
CT061,b,0.6028266305470709,-1.3577800962384572
CT062,b,1.3545583352542352,-1.4801893588262194
CT065,b,-2.2051748295581386,0.2915060289430786
CT066,b,0.2002547390839574,-0.9105790649307326
NT001,b,-1.8225020976571096,-0.6330149006387238
NT002,b,0.809744585967817,1.7538613207067701
NT003,b,-2.3007574704236724,-1.2016470978858251
NT005,b,0.066500626198485,-0.44096278419135054
NT006,b,-0.22944418836955333,-0.293249495692808
NT007,b,4.756965489125115,0.8246443204030616
NT008,b,-2.5852348183224434,-1.4658810406334286
NT010,b,-2.7577254328808847,0.2189419319721797
NT011,b,-1.2780871346410854,-1.153124380000174
NT013,b,-0.9496276305850107,2.0528742921258814
NT015,b,2.5475939584779987,-1.1659002103886345
NT016,b,-0.7482704257775527,0.21662166951367068
NT017,b,-3.384677103032879,-1.1034063699328502
NT018,b,3.418667967529315,-1.660365083779092
NT019,b,-2.5852348183224434,-1.4658810406334286
NT020,b,-3.1382245709909444,-0.6287722863029054
NT022,b,2.383152816142828,-1.5526239467851877
NT023,b,-1.5348184271671268,-1.3274605962057882
NT024,b,0.046642944148846587,-1.3548849256846742
NT025,b,-2.219221265409918,-0.34005797865422865
NT026,b,-0.9270772536071055,-1.065311996223181
NT027,b,-0.7353761424566906,-1.6899352669063668
NT028,b,-1.1548799711819688,-0.5205178434411711
NT030,b,-1.5661664641446227,-0.8313526757854387
NT033,b,0.8359120719400199,-1.5532597530368009
NT034,b,-1.1424811617447448,-0.7682526704101523
NT035,b,0.43121805407174196,-0.38791727466834763
NT036,b,2.3271156267815196,-1.0414544977962248
NT039,b,-2.0369897712767044,-0.31673583130240807
NT040,b,-1.5657708051310684,-0.4586786844331096
NT042,b,-2.0935653017167533,-0.6840903436691643
NT043,b,-3.1382245709909444,-0.6287722863029054
NT045,b,-1.760311998520036,0.7855943316680334
NT046,b,-2.3844235864334777,-1.1564037156549534
NT047,b,3.000807187318699,1.6911861169417413
NT048,b,2.7736466212208937,-0.5059370017138954
NT049,b,2.454933949276077,-0.9075865331949117
NT052,b,0.0010041048683587684,-1.873230159962594
NT053,b,0.43121805407174196,-0.38791727466834763
NT054,b,-3.384677103032879,-1.1034063699328502
NT055,b,1.2322076359305651,-1.314474296283797
NT056,b,-2.7577254328808847,0.2189419319721797
NT057,b,0.6026888790994046,-0.5000338551425326
NT058,b,-0.09272461740145044,-1.1480126823184769
NT059,b,-1.6828693602629603,-0.007402433990342846
NT060,b,1.5238765972906252,-0.8501523901029562
NT061,b,-2.1881726415056213,0.43163543078874494
NT063,b,-1.5558207959278918,0.2702253901718478
NT065,b,4.7023970189506255,2.125598295646456
NT066,b,2.2192548743474436,-0.8497018839198881
NT067,b,-1.120180836843758,-1.4610683728213298
NT069,b,1.772192391657662,-1.0746687972926652
NT070,b,-1.5272962285356109,0.4882059869549315
NT074,b,-0.3750845552987879,0.005065809242462822
NT077,b,0.7486383803167211,-0.3663597143297534
NT080,b,0.18305594044158488,-0.2963251827805076
NT081,b,1.8794075650834823,-2.955908232994745
NT082,b,2.736715051513034,0.17836257527612914
NT083,b,-1.9103285821539904,-0.8721852486554115
NT085,b,-0.9526681687034759,-0.37546557400893205
NT088,b,0.5608761553717265,-2.607339917438401
NT089,b,-1.8883767001168636,-0.3072861961549454
NT090,b,-3.1382245709909444,-0.6287722863029054
NT091,b,-1.6531013114076814,-0.5648224689107318
NT092,b,-2.258523778363421,0.21262832191128253
NT093,b,-2.125760660184228,-0.4662190215772681
NT094,b,-1.691724222842238,-0.038647941349748534
NT096,b,0.48619905942743424,-0.48449446545658065
NT097,b,-0.22802614641916963,1.7818838839748439
NT100,b,-2.019987583224188,-0.17660642945674154
NT102,b,-3.384677103032879,-1.1034063699328502
NT103,b,-2.2249292937731635,-0.28385651357544145
NT105,b,-2.573992735097854,0.16387359052499764
NT106,b,0.7694952070735962,-0.6020717059191422
NT110,b,-1.928351520670567,-1.1470437573392411
NT116,b,-1.387327884708948,1.0895404073695008
NT117,b,-3.075174478504281,-0.8683627714778978
NT118,b,1.5548486870428637,-0.7029502685984322
NT119,b,-1.9761664146145062,0.46003463186617677
NT122,b,-2.1344366198192657,1.0342640507530916
NT123,b,-1.9921883595883605,0.053617448405765586
NT124,b,-0.3329762636794362,-2.049305359339593
NT125,b,-2.143679082754788,-0.6255681669462214
NT126,b,-1.975494024473355,-1.2338100271917078
NT129,b,3.209636882745808,-0.0922525088060602
NT131,b,0.8543338296082087,1.041397926077119
NT132,b,3.0272357163722186,-1.5979703036456376
NT134,b,1.5253621600438962,-0.46151029198295074
NT135,b,-1.9116764438335625,-1.5280651205016997
NT136,b,0.4484840230233617,-0.7094425233652587
NT137,b,-2.0756468791461926,-0.5247411983002109
NT138,b,-2.9742463374229384,-1.2592031702686073
NT139,b,-0.5698498741558391,-1.309719434051883
NT140,b,0.2701653524356625,-1.0675225767446785
NT142,b,-1.3126932834735838,0.09005037009104172
CT003,t1,-0.5416795628823678,-1.5648114905020734
CT004,t1,-1.3587645328603728,-0.2001703639638895
CT005,t1,1.9686744843571922,1.3333910213055291
CT007,t1,3.225163582581868,3.0502887468478783
CT008,t1,-0.6648119062197206,0.7949803162196467
CT010,t1,3.3685882201437054,-0.7146254803752315
CT012,t1,2.1718239749930643,1.0905547682312766
CT013,t1,-0.16739674425180032,1.9302975884422033
CT015,t1,10.851602989819934,-0.2039669568257276
CT016,t1,0.2870526098328892,-1.3184532629245114
CT018,t1,1.0684470897630933,-0.6600062007448042
CT021,t1,7.686980180541967,-1.9451704981885773
CT022,t1,-2.2644901105692554,0.39891718897995015
CT023,t1,0.5632920539258818,1.2792272370768254
CT024,t1,5.668439760688219,0.23168343815404582
CT025,t1,3.4546210060696905,2.2754613669457315
CT026,t1,0.4831958362996971,1.5126417660663474
CT027,t1,-0.46385287005788794,-1.5449021825482308
CT028,t1,-0.8288500521248314,0.04206892806487531
CT029,t1,-0.1642716791199802,1.5394123765620369
CT030,t1,2.592679923851848,1.5921494238364804
CT031,t1,-1.053503029053576,0.21718994863375865
CT032,t1,2.464205611042724,3.010282938194902
CT033,t1,1.1597570614903794,2.37688521872119
CT034,t1,-2.505564872475704,0.6373745505233376
CT035,t1,-2.015605680893762,-1.0287712772368725
CT038,t1,2.2787721513645325,2.5650348199955477
CT039,t1,6.701229864691336,1.135748937262998
CT040,t1,-1.9557665453154658,0.2747055068213828
CT041,t1,-1.8306420236539136,1.3255091142868312
CT044,t1,0.2900787815242859,1.2229318912565188
CT045,t1,-2.7577254328808847,0.2189419319721797
CT046,t1,-1.1564928828480365,1.292488769926184
CT047,t1,5.088474675696181,1.7253914830431916
CT048,t1,-0.8568162557705771,0.2813224655760446
CT049,t1,1.377272818670128,0.4244647986356023
