Y_Variable,X_Variable (PC1 Timepoint),R_Squared,R_Squared_Std,RMSE,Alpha_B0,Beta_B1,N
after_DERS_total,after,0.19159626720482187,0.37582904886576307,15.56691191481406,71.20215586966108,4.697839390199167,120
after_DERS_total,b,-0.03033559147408116,0.3283473480571241,19.018405334641304,73.48553131989577,3.593909022036149,114
after_DERS_total,t1,0.13100329202036526,0.22939918620464925,18.28513463683429,68.81784886327657,3.6762518606762327,121
after_DERS_total,t2,0.23235377610622027,0.10308506869701392,17.193770000510977,70.93741988036646,3.8510299319882613,119
after_DERS_total,t3,0.07212755242678634,0.3032124201210194,17.985175507402456,70.79701772942123,3.296988221222683,109
after_DES_total,after,0.041216264412757074,0.14523645329341328,4.710933889641632,4.673200351419299,0.6268491834711111,120
after_DES_total,b,-0.016201409198505747,0.04522245352881103,4.98747501186133,5.125335140516456,0.4609946646820821,114
after_DES_total,t1,0.022832839267010317,0.10880394471281708,5.534067999063639,4.693107496829575,0.5774174710583456,121
after_DES_total,t2,-0.06578754189303748,0.04598585546398731,6.317926953349512,5.243341885670196,0.2708338049819562,119
after_DES_total,t3,-0.21263929421146024,0.2443769634685822,5.912668976616696,5.004598854104203,0.6524030010589452,109
b_DERS_total,after,0.09011733566432265,0.0847186651529621,16.972763608654574,72.54368075421611,2.2543561020903056,120
b_DERS_total,b,0.018823849621056498,0.12873399993646853,17.190905201653617,75.51149056735015,2.909850866070772,114
b_DERS_total,t1,0.13899990101115983,0.12401773368755747,16.967745436856656,70.79406908508102,3.085916075523012,121
b_DERS_total,t2,0.11758309751124733,0.1256991639092774,16.80596079090009,72.18235117667768,2.868473436007699,119
b_DERS_total,t3,0.15099558553242834,0.19351937604503422,17.149508864113272,72.54453864944729,3.2142784508193967,109
b_DES_average,after,-0.18455301043195055,0.37676433114815333,5.366125466943368,6.181572640254005,0.43632760685032446,120
b_DES_average,b,-0.026714832334220163,0.07695256123721808,5.3313966590701,6.950206318152915,0.5592773201947169,114
b_DES_average,t1,0.0307131278303276,0.04820048951534971,5.292567819963585,6.125964126649708,0.6532129092160134,121
b_DES_average,t2,-0.1209831725809745,0.2663816170734325,5.542181164848939,6.495022824488213,0.39336867155722194,119
b_DES_average,t3,-0.22856016376615423,0.22330467149845135,5.690683654890257,6.86824192839561,0.41943720256838846,109
diff_DERS,after,0.04212766066245306,0.29733107300561523,14.391673137586148,-1.3415248845550423,2.4434832881088617,120
diff_DERS,b,-0.07975953010762142,0.06229518069398811,16.446072711299376,-2.0259592474543755,0.684058155965378,114
diff_DERS,t1,-0.03810008116122907,0.041184245812004965,16.28441219029866,-1.976220221804454,0.5903357851532206,121
diff_DERS,t2,-0.02306439181206128,0.08374031870208105,16.062901271305687,-1.2449312963112156,0.9825564959805625,119
diff_DERS,t3,-0.058951418184991944,0.06387499686641906,16.176847447782794,-1.747520920026061,0.08270977040328795,109
diff_DES,after,-0.10571569584140053,0.1429716386575886,4.999361160720108,-1.5083722888347064,0.1905215766207867,120
diff_DES,b,-0.11068808484611078,0.04985462387732426,5.096673521233891,-1.824871177636461,-0.09828265551263496,114
diff_DES,t1,-0.03623599180760688,0.025735970729204614,5.380024014306239,-1.4328566298201328,-0.07579543815766783,121
diff_DES,t2,-0.16353404865479368,0.20398894202956816,6.1213552106522515,-1.251680938818017,-0.12253486657526591,119
diff_DES,t3,-0.18237005548839028,0.1962611527755006,5.472359861466961,-1.8636430742914079,0.2329657984905566,109
