Subject_Code,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,Cluster
CT002_ses1,-0.0018428514204033,0.0004838207557511,-0.0023008720806594,-0.0009359327723913,0.0039001463796187,-0.0002001112099392,0.0023066410065772,-9.772251219440224e-05,0.0024526009375031,-0.0017463991337871,0.002393741605352,-0.0030983784377034,0
CT003_ses1,0.0028077300734584,0.0004015402620768,0.002403366951723,0.0006810245927619,-0.0006456744247997,0.0005478956683867,-0.0006629553955058,0.0015359480499987,-0.0001687380307463,0.0031597248286191,-0.0026490091346294,-0.0018474890909522,1
CT004_ses1,0.0002310570935596,3.0162346584247223e-05,-0.001694410070968,0.0016005155191892,-0.0027797768157766,0.0015102046521976,-0.0008137620530418,-0.0013032340045972,0.0003315611831211,0.0002854295378583,0.0012002819995978,-0.0008564218050997,1
CT005_ses1,-0.0026207604092725,0.0007851025407571,1.8697150067348787e-05,0.004243913867525,-0.0002887696810333,-0.0037351162499094,0.0017712531963574,-0.0022385468276497,0.0001355371503053,-0.0024012313528362,0.000933495277501,0.0002307339587214,0
CT007_ses1,0.0032482811923964,-0.0015905984819593,-0.0027303481100752,0.0018379319535984,0.0025238199122577,0.00242176416909,0.0002595303857478,7.681089503175217e-05,0.0008268246866621,0.0004267642450122,0.0031990845640038,-0.0014091783246282,1
CT008_ses1,-0.0008807160468129,-0.002756260846514,0.0010828445954853,0.0018689340974669,-0.0009222096879464,0.0018419390981556,-0.0009789590429334,0.0020611458700188,-0.0001876752345182,-0.0052337673532766,0.0008717608980854,-0.0005379174366858,1
CT010_ses1,-0.0021828515328388,-0.0045410281683137,0.0023900141591303,0.0058605821200111,0.0056784048174658,1.0916706555871214e-05,-6.42711672555516e-05,-0.0004266206933678,-9.761999032781632e-05,-0.0014835784819962,-0.0041761823484754,-0.0011842112962326,1
CT012_ses1,0.0003060562551791,0.0005908877562643,-0.0023797799251084,-0.0026053611260146,-0.0031240454794343,0.0041666245796432,0.0006232523203134,-0.001710596336622,0.0024253875337264,0.0016601330430648,-0.002814253865284,0.0030598040827248,0
CT013_ses1,0.000603373507516,0.0009084734019038,-0.0017242413159617,-0.0040029757380468,-0.0021760765084871,-0.0018721588485387,0.00168755881481,-0.0013626894414662,-0.0003240218631324,0.000730851742936,0.0006082852173884,-0.0006702209369345,0
CT015_ses1,0.0011612088380722,-0.0027954709294809,-0.0018477506924128,0.0010196634906953,-0.0026206017986882,0.0052625937090361,0.0049173409088025,0.0026113445908063,-0.0019318736594497,0.0010268028795103,0.0024718268427628,-0.0049135763910243,1
CT016_ses1,0.0009553749948925,9.707564185554052e-05,-0.0011136049208866,-0.002040884169929,0.0003823388358819,0.0008033757240041,0.0003501061826874,-0.0008418011073442,0.0046200773506431,-0.0002172734871016,-0.0021494716762366,0.0007549187700041,1
CT017_ses1,0.0030601613707678,-0.001441136303783,0.0007677012935877,-0.0001205818973913,0.0011198988865641,-0.0008757997306895,0.0005531569162439,0.0005618476437749,0.0001294000102174,-0.0015519443282963,0.0017355800791337,-0.0016458306009667,1
CT018_ses1,0.0014196798649523,-0.0026931036930221,0.003707949255818,-0.0010756465361464,-0.0004381968267178,0.0004677178547006,0.0042922842825041,0.0033313124090233,0.0035930504757129,-0.0020601125558672,0.0038643807788209,-0.0029891878267505,1
CT020_ses1,-0.0026111937915146,0.000242359155723,-0.0037437426286774,-0.0006308276137789,0.0008489662625501,-0.0004972798881895,-0.0035603054488719,-0.0001177588915665,1.6825892367011267e-05,-0.0027055575319955,-0.0012425108521713,-0.0028559058896195,0
CT021_ses1,-0.0035917395839465,-0.0004985222813289,-0.0031474987225155,0.0004178279272513,0.00096014213862,-0.0044054739313144,0.0008228083977369,0.0013983298882183,-0.0037869880596906,0.0014363453599436,0.0008960292619637,-0.0012610717070993,0
CT023_ses1,-0.0013032816843217,0.003473744433871,0.0011366277509725,0.0003578540307547,0.0026540037096011,0.0014855587271427,-9.63694548351186e-05,-0.0001700335204464,-0.0021626007970074,0.0001023344857758,-0.0011262589626761,-0.0015459547586074,0
CT024_ses1,-0.0025674727948022,0.0021174856165714,-0.0001042542360712,-0.0024603729969349,-0.0003258379982668,-0.0012704990617298,-0.0027125776943084,0.0007867478265996,0.0001147294151332,0.0025934976791587,0.0003389396401207,0.0007297024363285,0
CT025_ses1,0.0028751030631588,-0.000263715190137,-0.0013314475179928,-0.0015396251136883,-0.001576624741295,0.0005391685780342,-0.0024981192629698,-0.0010907704232067,0.0008107504326899,0.0001180660707053,-0.0016078844136571,0.0003068622459023,1
CT026_ses1,0.0039258840492502,-0.0001961530618435,0.0001523910726413,0.0004570961185656,-0.0007082997461921,-0.0019425715395412,0.0014001147242011,-0.0003901133449738,0.0003788836168634,0.0001230940469258,0.0005947954858299,0.0007742587342158,1
CT027_ses1,-0.0034802224897484,0.0005707749528412,0.0018609734737472,0.0002611866248844,-0.000820430998214,0.0004003902796223,-0.0013646516898504,0.0030794806102429,0.0001249959141148,0.0015120091648675,-0.0002453474322261,-0.0003891777050819,0
CT028_ses1,-1.279380300545136e-06,0.0025072862806372,0.0006993936365999,-0.0011701018704617,-0.0010030109360556,0.0010114532165127,-0.0020836483218816,0.0026541956125364,0.000410422432759,0.0014403673398638,0.0002566874885217,-0.0052567621788413,0
CT029_ses1,0.0019432972286013,-0.0026981658777074,0.0010239443422377,-0.0017708905131876,-0.0055534118080392,-0.0002137296076502,-0.0009587373584977,-0.0006973905338728,-0.0033778310739272,-0.0005074256608785,-0.0046161328664276,-0.0002779323603599,1
CT030_ses1,-0.0032368359702988,0.0023027416044593,0.0040256277891758,-0.0006374401653532,-0.0018298897924502,-0.0009020768942436,0.0027396088469886,0.0004789785459847,0.0081149583790583,0.0015083212199358,-0.0009462244420832,-0.0011010970668319,0
CT032_ses1,-0.0023165064825189,0.0021045126327039,0.0023114072177348,-0.0004994281337473,-0.0020159415857027,0.0006006590005603,-0.0022505200259307,-0.000184263688896,0.0022733365278752,0.0001782659206141,4.649530739449144e-05,0.0014742339423551,0
CT033_ses1,0.0002404763129877,0.0021493778095121,-0.001632176753985,0.0011123546198439,0.0023076120450481,-0.0005149229539774,-0.0008919053119067,-0.0019591448742743,0.0005451171418642,0.0011481738282296,0.0002218244497482,0.0014086344301139,0
CT034_ses1,0.0027547315528795,-0.0005660808258507,-0.0023561846566966,0.0013344283909195,-0.0010178339839154,-2.6842978602289584e-05,0.0022387227999182,0.0002305472729704,0.0001409587625689,-0.0003662510005142,-0.00260532086179,0.0004016000485967,1
CT035_ses1,0.0026786439441119,0.0025074557504281,0.0009390695284993,-0.0017592226257708,0.0002567963869705,0.0019120077253502,-0.0019070995857444,0.0005631404305248,-0.0025774004315405,-0.0019264483071957,0.0021702197450409,-0.0027557733852135,1
CT039_ses1,-0.0010630304793381,0.0007976956301397,-0.0008490137499793,-0.0017597676047916,-0.0006101337714939,-0.0009253362761717,-0.0010289720301022,-8.261223905162008e-05,0.0010620866181909,-0.0025595734835739,0.0011950162626894,0.0017030548977246,0
CT041_ses1,0.0005082192683677,0.0035161453033088,0.0024098857566682,-0.000267177333991,-0.0020914645067018,-0.0027960896152173,-0.0013809760901476,0.0016298364755059,0.0015718375858825,-0.0009200767878572,0.0038316591428524,0.0025395873780928,0
CT042_ses1,0.000862074450138,0.0030095941105836,-0.0019208464081873,0.0010482621985549,9.990967021862531e-06,0.001133559041675,0.0003231943429929,0.0006352639594644,0.000209447743636,-0.001475396177731,-0.0024237105919218,-7.804343547940456e-05,0
CT043_ses1,-0.002388310424812,-0.0003193088411619,0.0004857578082513,0.0029117558103847,-0.0063920506373603,0.0005122469165181,-0.001787126778549,0.0006732271183746,0.0008010785797645,-0.001690555796753,-0.0014072041973871,-0.0021119921124901,0
CT046_ses1,0.0043856974730942,0.0005348249094935,-0.0012207724247207,-0.002738901479485,3.370070066135657e-05,0.0014864167349244,0.0007158708150492,-0.0009862684768506,-0.0008434627703479,-0.0014511456540033,0.0006032931038076,-0.0007080522587517,1
CT051_ses1,-0.0024703349282719,0.001898078800868,-0.0043628342047003,-0.0028906646004059,-0.0014521677692478,-0.0015250851445976,-0.0009302396636869,0.0009942064090343,-0.0001420650328565,-0.0034863903037288,-0.0041428651016073,-0.0002023030814177,0
CT056_ses1,-0.0004629077431083,-0.0010948138032532,0.0001753829953945,-0.0022391484841708,0.0006985519390084,0.0012269721817325,-0.0032296469231198,0.0020391310353597,-0.0022400855210617,-0.0019021971408373,0.0029161325815588,0.002470717118885,0
CT057_ses1,-0.0019140984847419,-0.0001093370525084,0.0005334524411853,-0.0012917930175051,-0.0003246982806797,-0.0020742193595857,0.0048798520887845,0.0012674705005463,-0.0043113743856133,0.0053581672684866,-0.0021017852866401,-0.0001046218134975,0
CT062_ses1,-0.0007925732264356,0.0033685843885275,-0.000517520819943,-0.0009536968466619,0.0002162862223827,0.0016066948023301,0.0044673533514654,-0.0008036318319332,0.0007319777225923,0.0029906582843312,-0.0006786687652493,0.0026866885264832,0
CT065_ses1,-0.0003476762647888,0.0018486556418255,-0.0027370123250002,-0.0011194208674001,0.0028305870164369,5.843434848425919e-05,-0.0006684247696386,-0.0003700968966847,-0.0005755606075762,-0.0003357792943671,-0.0008790796080721,-0.0003122178782047,0
NT002_ses1,0.0019909888121117,-0.0025056204797078,-0.0011389165410158,0.001095273644859,0.0003533620375502,-0.0020107240667304,-0.0014805063809572,-0.0010814391534709,0.0009343711669024,0.0024725143549115,0.0011504451322993,0.0005997229204618,1
NT003_ses1,0.0013177174042397,-0.0037216478092775,-0.001070567973168,0.0021492655649737,-0.0004458378201241,0.0008338783662036,-0.0010323459270852,0.0001181546032063,0.0018157354575391,-0.0028798172298416,0.0013936170100415,-0.002128865564184,1
NT005_ses1,0.0031552204076008,0.0009530845979959,0.0002660712625776,0.0013670985436465,0.0003571354045041,-0.0004522267452619,-0.0015422458770616,-0.001301308829157,-0.0012075353015929,-0.0012183733467073,0.0002466611966581,0.0008214873456169,1
NT006_ses1,0.00453867426007,-0.0002782216483918,0.001157354917375,-3.769378530681772e-05,4.174299759251954e-06,-0.0014879102837139,-0.0005993333862969,-0.0016188612700851,0.0008000275197614,-4.388426050305292e-05,0.0001299507500268,6.424826907132502e-05,1
NT007_ses1,0.0042469631020906,0.0001090922952342,0.0014591283823923,-0.0015385666145615,0.0036950800175556,-0.0027570839605178,-0.0013839416585009,0.0017469497497035,0.0006677697232488,-0.0009214386772493,-0.0008853155339003,0.0005645562586589,1
NT010_ses1,-0.0009115949196248,0.0023763804687397,0.0001328862837715,-0.0014419976432362,0.0007189215507238,0.0017796641972743,0.0004831616538907,-0.0010567595500084,-0.0021109957403909,0.0009779078782995,-0.0012784548541001,-0.0010568495898252,0
NT013_ses1,0.0022401458387217,-0.0016808399301761,-0.0038675542879596,0.0001892411748232,0.0010704836975978,0.0025982582073011,0.0002420724972141,-0.0011314642697654,-0.0008286164895541,0.0015356376458995,-0.0009883001955853,0.0011318043748647,1
NT015_ses1,-0.0048137266662402,0.0006636667420279,-0.0004933201562162,0.0044156299911364,-0.000175316081148,-0.0010085518188684,-0.0006797490069132,0.0043145652182002,0.004693073926849,0.0039862578648875,-0.0005058702143097,0.0019288941644229,0
NT016_ses1,0.0033771532681529,-0.0002185590821056,0.0017565911898485,0.0004045666935084,-0.0013571188859136,-0.0043348035473953,-5.648875589750577e-05,0.0005209618285296,0.0003696999026119,-0.000325317037926,-0.0032764699932429,0.0021082386512174,1
